,act_symbol,sector
0,A,LABORATORY ANALYTICAL INSTRUMENTS
1,AACG,SERVICES-EDUCATIONAL SERVICES
2,AAIC,REAL ESTATE INVESTMENT TRUSTS
3,AAME,LIFE INSURANCE
4,AAON,AIR COND &amp; WARM AIR HEATING EQUIP &amp; COMM &amp; INDL REFRIG EQUIP
5,AAP,RETAIL-AUTO &amp; HOME SUPPLY STORES
6,AAPL,ELECTRONIC COMPUTERS
7,AAU,METAL MINING
8,AAWW,"AIR TRANSPORTATION, NONSCHEDULED"
9,AB,INVESTMENT ADVICE
10,ABB,SWITCHGEAR &amp; SWITCHBOARD APPARATUS
11,ABC,WHOLESALE-DRUGS PROPRIETARIES &amp; DRUGGISTS&#39; SUNDRIES
12,ABCB,STATE COMMERCIAL BANKS
13,ABEO,PHARMACEUTICAL PREPARATIONS
14,ABG,RETAIL-AUTO DEALERS &amp; GASOLINE STATIONS
15,ABIO,PHARMACEUTICAL PREPARATIONS
16,ABM,SERVICES-TO DWELLINGS &amp; OTHER BUILDINGS
17,ABMD,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
18,ABR,REAL ESTATE INVESTMENT TRUSTS
19,ABT,PHARMACEUTICAL PREPARATIONS
20,ABUS,PHARMACEUTICAL PREPARATIONS
21,ACAD,PHARMACEUTICAL PREPARATIONS
22,ACC,Unknown
23,ACCO,"BLANKBOOKS, LOOSELEAF BINDERS &amp; BOOKBINDING &amp; RELATED WORK"
24,ACER,PHARMACEUTICAL PREPARATIONS
25,ACGL,"FIRE, MARINE &amp; CASUALTY INSURANCE"
26,ACH,PRIMARY PRODUCTION OF ALUMINUM
27,ACHV,IN VITRO &amp; IN VIVO DIAGNOSTIC SUBSTANCES
28,ACIW,SERVICES-PREPACKAGED SOFTWARE
29,ACLS,"SPECIAL INDUSTRY MACHINERY, NEC"
30,ACM,SERVICES-ENGINEERING SERVICES
31,ACN,"SERVICES-BUSINESS SERVICES, NEC"
32,ACNB,STATE COMMERCIAL BANKS
33,ACOR,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
34,ACR,REAL ESTATE INVESTMENT TRUSTS
35,ACTG,PATENT OWNERS &amp; LESSORS
36,ACU,"CUTLERY, HANDTOOLS &amp; GENERAL HARDWARE"
37,ACY,Unknown
38,ADBE,SERVICES-PREPACKAGED SOFTWARE
39,ADC,REAL ESTATE INVESTMENT TRUSTS
40,ADES,MISCELLANEOUS CHEMICAL PRODUCTS
41,ADI,SEMICONDUCTORS &amp; RELATED DEVICES
42,ADM,FATS &amp; OILS
43,ADMP,PHARMACEUTICAL PREPARATIONS
44,ADP,SERVICES-COMPUTER PROCESSING &amp; DATA PREPARATION
45,ADS,Unknown
46,ADSK,SERVICES-PREPACKAGED SOFTWARE
47,ADTN,TELEPHONE &amp; TELEGRAPH APPARATUS
48,ADUS,SERVICES-HOME HEALTH CARE SERVICES
49,ADX,Unknown
50,ADXS,PHARMACEUTICAL PREPARATIONS
51,AE,WHOLESALE-PETROLEUM &amp; PETROLEUM PRODUCTS (NO BULK STATIONS)
52,AEB,Unknown
53,AEE,ELECTRIC &amp; OTHER SERVICES COMBINED
54,AEF,Unknown
55,AEG,LIFE INSURANCE
56,AEGN,Unknown
57,AEHL,"COMMUNICATION SERVICES, NEC"
58,AEHR,INSTRUMENTS FOR MEAS &amp; TESTING OF ELECTRICITY &amp; ELEC SIGNALS
59,AEIS,"ELECTRONIC COMPONENTS, NEC"
60,AEL,LIFE INSURANCE
61,AEM,GOLD &amp; SILVER ORES
62,AEMD,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
63,AEO,RETAIL-FAMILY CLOTHING STORES
64,AEP,ELECTRIC SERVICES
65,AER,"SERVICES-EQUIPMENT RENTAL &amp; LEASING, NEC"
66,AES,COGENERATION SERVICES &amp; SMALL POWER PRODUCERS
67,AEY,WHOLESALE-DURABLE GOODS
68,AEZS,"PERFUMES, COSMETICS &amp; OTHER TOILET PREPARATIONS"
69,AFB,Unknown
70,AFG,"FIRE, MARINE &amp; CASUALTY INSURANCE"
71,AFL,ACCIDENT &amp; HEALTH INSURANCE
72,AG,GOLD &amp; SILVER ORES
73,AGCO,FARM MACHINERY &amp; EQUIPMENT
74,AGD,Unknown
75,AGEN,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
76,AGM,FEDERAL &amp; FEDERALLY-SPONSORED CREDIT AGENCIES
77,AGNC,REAL ESTATE INVESTMENT TRUSTS
78,AGO,SURETY INSURANCE
79,AGX,CONSTRUCTION SPECIAL TRADE CONTRACTORS
80,AGYS,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
81,AHC,Unknown
82,AHPI,"ORTHOPEDIC, PROSTHETIC &amp; SURGICAL APPLIANCES &amp; SUPPLIES"
83,AHT,REAL ESTATE INVESTMENT TRUSTS
84,AIG,"FIRE, MARINE &amp; CASUALTY INSURANCE"
85,AIKI,"SECURITY BROKERS, DEALERS &amp; FLOTATION COMPANIES"
86,AIM,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
87,AIMC,"GENERAL INDUSTRIAL MACHINERY &amp; EQUIPMENT, NEC"
88,AIN,"BROADWOVEN FABRIC MILS, MAN MADE FIBER &amp; SILK"
89,AINV,Unknown
90,AIR,AIRCRAFT &amp; PARTS
91,AIRI,"AIRCRAFT PART &amp; AUXILIARY EQUIPMENT, NEC"
92,AIRT,AIR COURIER SERVICES
93,AIT,"WHOLESALE-MACHINERY, EQUIPMENT &amp; SUPPLIES"
94,AIV,REAL ESTATE INVESTMENT TRUSTS
95,AIZ,"INSURANCE CARRIERS, NEC"
96,AJG,INSURANCE AGENTS BROKERS &amp; SERVICES
